Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
990,GL,WI,ISW,Wisconsin Rapids,Alexander Field South Wood County,GA,None,23,4,4.75
1011,GL,WI,UES,Waukesha,Waukesha County,GA,None,19,6,2.1667
1109,GL,WI,HYR,Hayward,Sawyer County,GA,None,8,0,0
1125,GL,WI,ARV,Woodruff,Lakeland/Noble F Lee Memorial Field,GA,None,7,0,0
1203,GL,WI,SUW,Superior,Richard I Bong,GA,None,4,0,0
1260,GL,WI,DLL,Baraboo,Baraboo/Wisconsin Dells Regional,GA,None,2,0,0
1282,GL,WI,OSH,Oshkosh,Wittman Regional,GA,None,2,0,0
1303,GL,WI,ENW,Kenosha,Kenosha Regional,GA,None,1,0,0
665,WP,WK,AWK,Wake Island,Wake Island Airfield,GA,None,717,623,0.1509
194,EA,WV,CRW,Charleston,West Virginia International Yeager,P,N,149006,89512,0.6646
217,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,94973,58582,0.6212
280,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,37165,18468,1.0124
391,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,10902,3995,1.7289
439,EA,WV,MGW,Morgantown,Morgantown Municipal (Walter L Bill Hart Field),CS,None,6450,3369,0.9145
446,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,5887,2944,0.9997
457,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,None,4863,5002,-0.0278
1214,EA,WV,6L4,Logan,Logan County,GA,None,3,0,0
117,NM,WY,JAC,Jackson,Jackson Hole,P,S,497548,276297,0.8008
247,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,66629,44923,0.4832
279,NM,WY,COD,Cody,Yellowstone Regional,P,N,37349,20624,0.8109
313,NM,WY,SHR,Sheridan,Sheridan County,P,N,23920,10166,1.3529
314,NM,WY,GCC,Gillette,Northeast Wyoming Regional,P,N,23873,14473,0.6495
342,NM,WY,LAR,Laramie,Laramie Regional,P,N,16728,9227,0.8129
344,NM,WY,RKS,Rock Springs,Southwest Wyoming Regional,P,N,16679,9930,0.6797
353,NM,WY,RIW,Riverton,Central Wyoming Regional,P,N,15420,7459,1.0673
464,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,CS,None,4408,3439,0.2818
813,NM,WY,SAA,Saratoga,Shively Field,GA,None,125,9,12.8889
